"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0295^1","+0.62","+0.58","+1.15","7.65","TMO‑Non"
"SLH0296^1","+5.34","+5.17","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0297^1","+2.12","+3.36","+0.40","1.55","TMO‑Non"
"SLH0298^1","+0.32","+0.39","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0299^1","+2.61","+2.27","+3.39","1.13","TMO‑Non"
"SLH0300^1","+2.20","+3.27","GUP‑Non","TMO‑Non","8.31"
"SLH0301^1","+3.35","+1.97","+0.90","UNK‑Non","TMO‑Non"
"SLH0302^1","+0.68","+0.60","GUP‑Non","1.81","TMO‑Non"
"SLH0303^1","TMO‑Non","TMO‑Non","GUP‑Non","2.02","TMO‑Non"
"SLH0304^1","+0.36","+0.37","+2.02","1.63","GUP‑Non"
"SLH0305^1","+0.35","+0.35","+0.82","TMO‑Non","8.89"
"SLH0306^1","+9.22","+4.70","+1.05","2.00","TMO‑Non"
"SLH0307^1","+1.18","+1.64","+1.36","1.34","TMO‑Non"
"SLH0308^1","TMO‑Non","TMO‑Non","GUP‑Non","1.95","TMO‑Non"
"SLH0309^1","+1.32","+1.48","+3.60","TMO‑Non","TMO‑Non"
"SLH0310^1","+0.53","+0.48","+1.35","UNK‑Non","10.02"
"SLH0311^1","+0.98","+0.89","+0.37","0.77","TMO‑Non"
"SLH0312^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0313^1","+2.00","+3.23","+1.06","UNK‑Non","TMO‑Non"
"SLH0314^1","+0.37","+0.39","UNK‑Non","TMO‑Non","13.89"
"SLH0315^1","+0.54","+0.32","+0.34","UNK‑Non","8.70"
"SLH0316^1","+0.94","+0.93","+1.29","TMO‑Non","TMO‑Non"
"SLH0317^1","+0.71","+0.97","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0318^1","TMO‑Non","TMO‑Non","+2.84","UNK‑Non","TMO‑Non"
"SLH0319^1","TMO‑Non","TMO‑Non","+0.96","7.63","TMO‑Non"
"SLH0320^1","TMO‑Non","TMO‑Non","+0.93","UNK‑Non","TMO‑Non"
"SLH0321^1","+1.11","+0.59","+3.06","UNK‑Non","TMO‑Non"
"SLH0322^1","TMO‑Non","TMO‑Non","+2.03","TMO‑Non","TMO‑Non"
"SLH0323^1","+1.02","+2.53","+0.63","1.14","10.83"
"SLH0324^1","+0.99","+0.96","+1.03","UNK‑Non","TMO‑Non"
"SLH0325^1","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0326^1","+0.66","+0.50","+12.18","UNK‑Non","TMO‑Non"
"SLH0327^1","+0.52","+0.47","+1.12","TMO‑Non","GUP‑Non"
"SLH0328^1","+0.50","+0.41","+11.24","TMO‑Non","TMO‑Non"
"SLH0329^1","+0.35","+0.34","+1.92","UNK‑Non","TMO‑Non"
"SLH0330^1","+12.97","+13.44","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0331^1","+0.33","+0.41","+2.56","UNK‑Non","TMO‑Non"
"SLH0332^1","+2.22","+1.98","+1.17","1.28","TMO‑Non"
"SLH0333^1","TMO‑Non","TMO‑Non","+1.24","TMO‑Non","TMO‑Non"
"SLH0334^1","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0335^1","+14.37","+13.68","+10.64","TMO‑Non","TMO‑Non"
"SLH0336^1","TMO‑Non","TMO‑Non","GUP‑Non","1.61","TMO‑Non"
"SLH0337^1","+1.01","+0.88","+4.50","TMO‑Non","TMO‑Non"
"SLH0338^1","+1.81","+1.35","UNK‑Non","TMO‑Non","TMO‑Non"
"SLH0339^1","+0.91","+0.29","+10.06","1.91","TMO‑Non"
"SLH0340^1","+4.83","+0.94","+1.18","1.23","TMO‑Non"
"SLH0341^1","+0.33","+0.72","+0.48","1.17","TMO‑Non"
"SLH0342^1","+0.36","+0.47","+1.20","UNK‑Non","TMO‑Non"
"SLH0343^1","+9.36","TMO‑Non","+0.99","TMO‑Non","TMO‑Non"
"SLH0344^1","+0.89","+0.41","+1.62","7.78","TMO‑Non"
"SLH0345^1","+9.64","TMO‑Non","+1.29","UNK‑Non","TMO‑Non"
"SLH0346^1","+1.68","+1.64","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0347^1","+0.43","+0.46","+1.70","UNK‑Non","TMO‑Non"
"SLH0348^1","+2.05","+2.18","+0.92","UNK‑Non","TMO‑Non"
"SLH0349^1","+6.71","+2.73","GUP‑Non","UNK‑Non","TMO‑Non"
"SLH0350^1","+0.32","+0.49","+1.59","UNK‑Non","TMO‑Non"
"SLH0351^1","+0.87","+0.59","+1.03","UNK‑Non","TMO‑Non"
"SLH0352^1","+0.75","+0.54","GUP‑Non","1.57","TMO‑Non"
